time	thrust_filtered
6.432	2167.113938
6.435871	2166.839149
6.439742	2166.26422
6.443613	2165.44237
6.447484	2164.444056
6.451355	2163.35053
6.455226	2162.246653
6.459097	2161.213733
6.462968	2160.323002
6.466839	2159.630203
6.471	2159.171608
6.474871	2158.96172
6.478742	2158.992905
6.482613	2159.237037
6.486484	2159.649023
6.490355	2160.17179
6.494226	2160.742167
6.498097	2161.297064
6.501968	2161.779395
6.505839	2162.14321
6.51	2162.357542
6.513871	2162.40861
6.517742	2162.300198
6.521613	2162.052282
6.525484	2161.698144
6.529355	2161.280303
6.533226	2160.845734
6.537097	2160.440892
6.540968	2160.107151
6.544839	2159.877176
6.548	2159.772584
6.551871	2159.803053
6.555742	2159.966805
6.559613	2160.252342
6.563484	2160.641158
6.567355	2161.111038
6.571226	2161.639432
6.575097	2162.206322
6.578968	2162.796121
6.582839	2163.398399
6.587	2164.007442
6.590871	2164.620871
6.594742	2165.237646
6.598613	2165.855814
6.602484	2166.470437
6.606355	2167.07208
6.610226	2167.646153
6.614097	2168.173202
6.617968	2168.630104
6.621839	2168.991998
6.626	2169.234782
6.629871	2169.337894
6.633742	2169.287081
6.637613	2169.076747
6.641484	2168.711599
6.645355	2168.207372
6.649226	2167.590606
6.653097	2166.897434
6.656968	2166.171428
6.660839	2165.460595
6.664	2164.813708
6.667871	2164.276317
6.671742	2163.886863
6.675613	2163.673335
6.679484	2163.650784
6.683355	2163.819894
6.687226	2164.166707
6.691097	2164.663515
6.694968	2165.270916
6.698839	2165.94087
6.703	2166.62051
6.706871	2167.256345
6.710742	2167.798491
6.714613	2168.20458
6.718484	2168.442989
6.722355	2168.495096
6.726226	2168.356374
6.730097	2168.036277
6.733968	2167.557019
6.737839	2166.951392
6.742	2166.259805
6.745871	2165.526756
6.749742	2164.797045
6.753613	2164.112097
6.757484	2163.506738
6.761355	2163.006749
6.765226	2162.627358
6.769097	2162.372805
6.772968	2162.236967
6.776839	2162.204958
6.781	2162.255516
6.784871	2162.363923
6.788742	2162.505216
6.792613	2162.657406
6.796484	2162.804384
6.800355	2162.938094
6.804226	2163.05959
6.808097	2163.178722
6.811968	2163.312432
6.815839	2163.481951
6.819	2163.709285
6.822871	2164.013439
6.826742	2164.406742
6.830613	2164.891695
6.834484	2165.458789
6.838355	2166.085719
6.842226	2166.73824
6.846097	2167.372642
6.849968	2167.939564
6.853839	2168.388667
6.858	2168.673644
6.861871	2168.757002
6.865742	2168.614172
6.869613	2168.236572
6.873484	2167.633356
6.877355	2166.831655
6.881226	2165.875181
6.885097	2164.82124
6.888968	2163.736366
6.892839	2162.691032
6.897	2161.753935
6.900871	2160.986448
6.904742	2160.437704
6.908613	2160.140749
6.912484	2160.110088
6.916355	2160.340879
6.920226	2160.809895
6.924097	2161.478179
6.927968	2162.295062
6.931839	2163.203088
6.935	2164.143262
6.938871	2165.060099
6.942742	2165.905991
6.946613	2166.644551
6.950484	2167.252676
6.954355	2167.721192
6.958226	2168.054059
6.962097	2168.26631
6.965968	2168.381008
6.969839	2168.425593
6.974	2168.42807
6.977871	2168.413432
6.981742	2168.400741
6.985613	2168.401241
6.989484	2168.417759
6.993355	2168.445483
6.997226	2168.47393
7.001097	2168.489701
7.004968	2168.47958
7.008839	2168.433502
7.013	2168.347066
7.016871	2168.22333
7.020742	2168.073667
7.024613	2167.917461
7.028484	2167.780531
7.032355	2167.692362
7.036226	2167.682512
7.040097	2167.776724
7.043968	2167.993324
7.047839	2168.340328
7.051	2168.813581
7.054871	2169.396064
7.058742	2170.058435
7.062613	2170.760736
7.066484	2171.455102
7.070355	2172.089264
7.074226	2172.610651
7.078097	2172.970837
7.081968	2173.130037
7.085839	2173.061218
7.09	2172.753395
7.093871	2172.21371
7.097742	2171.467942
7.101613	2170.559283
7.105484	2169.545382
7.109355	2168.493862
7.113226	2167.476724
7.117097	2166.564164
7.120968	2165.818456
7.124839	2165.288559
7.129	2165.005988
7.132871	2164.982389
7.136742	2165.209019
7.140613	2165.658159
7.144484	2166.286265
7.148355	2167.038538
7.152226	2167.854466
7.156097	2168.673785
7.159968	2169.442215
7.163839	2170.116279
7.168	2170.666676
7.171871	2171.07986
7.175742	2171.357748
7.179613	2171.515735
7.183484	2171.57936
7.187355	2171.580113
7.191226	2171.550928
7.195097	2171.521916
7.198968	2171.516831
7.202839	2171.550602
7.206	2171.628123
7.209871	2171.74428
7.213742	2171.885181
7.217613	2172.030411
7.221484	2172.156127
7.225355	2172.238595
7.229226	2172.257702
7.233097	2172.199924
7.236968	2172.060355
7.240839	2171.843604
7.245	2171.563525
7.248871	2171.241834
7.252742	2170.905692
7.256613	2170.584468
7.260484	2170.306047
7.264355	2170.093226
7.268226	2169.96079
7.272097	2169.913687
7.275968	2169.946588
7.279839	2170.044814
7.284	2170.186474
7.287871	2170.345489
7.291742	2170.495127
7.295613	2170.611606
7.299484	2170.677322
7.303355	2170.683262
7.307226	2170.630282
7.311097	2170.529153
7.314968	2170.399451
7.318839	2170.267464
7.322	2170.163295
7.325871	2170.117389
7.329742	2170.156782
7.333613	2170.30153
7.337484	2170.561843
7.341355	2170.936361
7.345226	2171.411823
7.349097	2171.964115
7.352968	2172.56046
7.356839	2173.162372
7.361	2173.729006
7.364871	2174.220613
7.368742	2174.601916
7.372613	2174.845232
7.376484	2174.93313
7.380355	2174.860373
7.384226	2174.634904
7.388097	2174.27771
7.391968	2173.821596
7.395839	2173.308949
7.4	2172.788686
7.403871	2172.312614
7.407742	2171.931499
7.411613	2171.691156
7.415484	2171.62888
7.419355	2171.770462
7.423226	2172.128024
7.427097	2172.698819
7.430968	2173.465081
7.434839	2174.3949
7.439	2175.444063
7.442871	2176.558694
7.446742	2177.678566
7.450613	2178.740958
7.454484	2179.684878
7.458355	2180.455362
7.462226	2181.007453
7.466097	2181.309478
7.469968	2181.34528
7.473839	2181.115216
7.477	2180.635841
7.480871	2179.938306
7.484742	2179.065622
7.488613	2178.068931
7.492484	2177.00311
7.496355	2175.922093
7.500226	2174.874504
7.504097	2173.900175
7.507968	2173.027939
7.511839	2172.274858
7.516	2171.646804
7.519871	2171.140211
7.523742	2170.744714
7.527613	2170.446317
7.531484	2170.230659
7.535355	2170.085888
7.539226	2170.004725
7.543097	2169.985482
7.546968	2170.031937
7.550839	2170.152158
7.555	2170.356396
7.558871	2170.654291
7.562742	2171.051752
7.566613	2171.548019
7.570484	2172.13339
7.574355	2172.788003
7.578226	2173.481892
7.582097	2174.176357
7.585968	2174.826605
7.589839	2175.385407
7.593	2175.807369
7.596871	2176.053252
7.600742	2176.093836
7.604613	2175.91295
7.608484	2175.50947
7.612355	2174.89817
7.616226	2174.109333
7.620097	2173.187068
7.623968	2172.186386
7.627839	2171.169271
7.632	2170.200153
7.635871	2169.341204
7.639742	2168.647861
7.643613	2168.164855
7.647484	2167.923015
7.651355	2167.937085
7.655226	2168.204722
7.659097	2168.706797
7.662968	2169.408984
7.666839	2170.264542
7.671	2171.218021
7.674871	2172.209569
7.678742	2173.179451
7.682613	2174.072368
7.686484	2174.84123
7.690355	2175.45006
7.694226	2175.875854
7.698097	2176.109317
7.701968	2176.154548
7.705839	2176.027872
7.709	2175.755976
7.712871	2175.373535
7.716742	2174.920414
7.720613	2174.438639
7.724484	2173.969326
7.728355	2173.54983
7.732226	2173.211329
7.736097	2172.977004
7.739968	2172.860971
7.743839	2172.868045
7.748	2172.994431
7.751871	2173.229255
7.755742	2173.556688
7.759613	2173.958269
7.763484	2174.415094
7.767355	2174.909617
7.771226	2175.426895
7.775097	2175.955167
7.778968	2176.485719
7.782839	2177.012072
7.787	2177.528692
7.790871	2178.029533
7.794742	2178.506816
7.798613	2178.950335
7.802484	2179.347425
7.806355	2179.68357
7.810226	2179.943595
7.814097	2180.113254
7.817968	2180.181028
7.821839	2180.139816
7.826	2179.988304
7.829871	2179.731789
7.833742	2179.382409
7.837613	2178.958775
7.841484	2178.485032
7.845355	2177.989362
7.849226	2177.501916
7.853097	2177.052278
7.856968	2176.666653
7.860839	2176.365093
7.864	2176.159189
7.867871	2176.050606
7.871742	2176.030684
7.875613	2176.081125
7.879484	2176.175649
7.883355	2176.28245
7.887226	2176.36728
7.891097	2176.396946
7.894968	2176.342895
7.898839	2176.184497
7.903	2175.91163
7.906871	2175.526278
7.910742	2175.043017
7.914613	2174.488323
7.918484	2173.898702
7.922355	2173.317709
7.926226	2172.792125
7.930097	2172.367776
7.933968	2172.085557
7.937839	2171.978129
7.942	2172.067452
7.945871	2172.363223
7.949742	2172.862189
7.953613	2173.548414
7.957484	2174.394481
7.961355	2175.363535
7.965226	2176.411974
7.969097	2177.492567
7.972968	2178.557823
7.976839	2179.563399
7.98	2180.471251
7.983871	2181.252183
7.987742	2181.887479
7.991613	2182.369384
7.995484	2182.70041
7.999355	2182.891607
8.003226	2182.960056
8.007097	2182.925973
8.010968	2182.809859
8.014839	2182.63013
8.019	2182.401514
8.022871	2182.134269
8.026742	2181.834137
8.030613	2181.502902
8.034484	2181.13948
8.038355	2180.741426
8.042226	2180.306699
8.046097	2179.835465
8.049968	2179.331593
8.053839	2178.803553
8.058	2178.264555
8.061871	2177.732007
8.065742	2177.226503
8.069613	2176.770578
8.073484	2176.387359
8.077355	2176.099145
8.081226	2175.925915
8.085097	2175.8838
8.088968	2175.983644
8.092839	2176.229812
8.097	2176.619342
8.100871	2177.141503
8.104742	2177.777853
8.108613	2178.502911
8.112484	2179.285506
8.116355	2180.090727
8.120226	2180.882274
8.124097	2181.624929
8.127968	2182.286881
8.131839	2182.84173
8.135	2183.270056
8.138871	2183.560451
8.142742	2183.709867
8.146613	2183.723206
8.150484	2183.612247
8.154355	2183.394127
8.158226	2183.089675
8.162097	2182.72184
8.165968	2182.314321
8.169839	2181.890401
8.174	2181.471994
8.177871	2181.079008
8.181742	2180.729023
8.185613	2180.437193
8.189484	2180.216144
8.193355	2180.07577
8.197226	2180.022882
8.201097	2180.060818
8.204968	2180.189126
8.208839	2180.403425
8.213	2180.695542
8.216871	2181.053962
8.220742	2181.464556
8.224613	2181.911499
8.228484	2182.378217
8.232355	2182.848189
8.236226	2183.305544
8.240097	2183.735454
8.243968	2184.124468
8.247839	2184.460912
8.251	2184.735502
8.254871	2184.942177
8.258742	2185.079045
8.262613	2185.149246
8.266484	2185.161452
8.270355	2185.129731
8.274226	2185.072682
8.278097	2185.011881
8.281968	2184.969838
8.285839	2184.967738
8.29	2185.023228
8.293871	2185.148502
8.297742	2185.348826
8.301613	2185.621654
8.305484	2185.956417
8.309355	2186.335082
8.313226	2186.733497
8.317097	2187.123438
8.320968	2187.475231
8.324839	2187.760713
8.329	2187.956173
8.332871	2188.044896
8.336742	2188.018929
8.340613	2187.879847
8.344484	2187.638381
8.348355	2187.312998
8.352226	2186.927639
8.356097	2186.508928
8.359968	2186.083206
8.363839	2185.673705
8.368	2185.298182
8.371871	2184.967221
8.375742	2184.683363
8.379613	2184.441137
8.383484	2184.228027
8.387355	2184.026317
8.391226	2183.815645
8.395097	2183.576025
8.398968	2183.290925
8.402839	2182.95002
8.406	2182.551227
8.409871	2182.101752
8.413742	2181.618023
8.417613	2181.124483
8.421484	2180.651413
8.425355	2180.232064
8.429226	2179.899472
8.433097	2179.683368
8.436968	2179.607543
8.440839	2179.687927
8.445	2179.931473
8.448871	2180.335837
8.452742	2180.88974
8.456613	2181.573863
8.460484	2182.362091
8.464355	2183.223003
8.468226	2184.121541
8.472097	2185.020871
8.475968	2185.884403
8.479839	2186.677814
8.484	2187.370895
8.487871	2187.939004
8.491742	2188.364055
8.495613	2188.63506
8.499484	2188.748336
8.503355	2188.707423
8.507226	2188.522699
8.511097	2188.210618
8.514968	2187.792591
8.518839	2187.293568
8.522	2186.740492
8.525871	2186.160739
8.529742	2185.580641
8.533613	2185.024112
8.537484	2184.511419
8.541355	2184.058222
8.545226	2183.675051
8.549097	2183.367304
8.552968	2183.135718
8.556839	2182.977229
8.561	2182.886102
8.564871	2182.855222
8.568742	2182.877377
8.572613	2182.946307
8.576484	2183.05729
8.580355	2183.207124
8.584226	2183.393488
8.588097	2183.613841
8.591968	2183.864119
8.595839	2184.137514
8.6	2184.423621
8.603871	2184.708135
8.607742	2184.973212
8.611613	2185.198529
8.615484	2185.362984
8.619355	2185.446851
8.623226	2185.434122
8.627097	2185.314723
8.630968	2185.086329
8.634839	2184.755533
8.638	2184.338209
8.641871	2183.858978
8.645742	2183.349779
8.649613	2182.847621
8.653484	2182.391715
8.657355	2182.020276
8.661226	2181.767402
8.665097	2181.660379
8.668968	2181.717686
8.672839	2181.947781
8.677	2182.348662
8.680871	2182.908077
8.684742	2183.604315
8.688613	2184.407519
8.692484	2185.281486
8.696355	2186.185849
8.700226	2187.078515
8.704097	2187.918202
8.707968	2188.666934
8.711839	2189.292352
8.716	2189.769744
8.719871	2190.083649
8.723742	2190.228874
8.727613	2190.210804
8.731484	2190.044942
8.735355	2189.755748
8.739226	2189.374884
8.743097	2188.939005
8.746968	2188.48723
8.750839	2188.058436
8.755	2187.688565
8.758871	2187.408193
8.762742	2187.240621
8.766613	2187.200619
8.770484	2187.293842
8.774355	2187.51685
8.778226	2187.857685
8.782097	2188.296972
8.785968	2188.809528
8.789839	2189.366393
8.793	2189.937116
8.796871	2190.492024
8.800742	2191.004148
8.804613	2191.450583
8.808484	2191.81318
8.812355	2192.078636
8.816226	2192.23812
8.820097	2192.28666
8.823968	2192.22251
8.827839	2192.046701
8.832	2191.762889
8.835871	2191.377529
8.839742	2190.900326
8.843613	2190.344814
8.847484	2189.728882
8.851355	2189.075022
8.855226	2188.410119
8.859097	2187.76462
8.862968	2187.171079
8.866839	2186.662165
8.871	2186.268258
8.874871	2186.014823
8.878742	2185.919753
8.882613	2185.990993
8.886484	2186.224785
8.890355	2186.604887
8.894226	2187.103047
8.898097	2187.680823
8.901968	2188.292648
8.905839	2188.889819
8.909	2189.424976
8.912871	2189.856576
8.916742	2190.152953
8.920613	2190.295477
8.924484	2190.28046
8.928355	2190.119571
8.932226	2189.838738
8.936097	2189.475663
8.939968	2189.076231
8.943839	2188.690173
8.948	2188.366403
8.951871	2188.148468
8.955742	2188.070558
8.959613	2188.15445
8.963484	2188.407639
8.967355	2188.822706
8.971226	2189.377932
8.975097	2190.039128
8.978968	2190.762615
8.982839	2191.499115
8.987	2192.198129
8.990871	2192.812285
8.994742	2193.301239
8.998613	2193.634831
9.002484	2193.795422
9.006355	2193.779312
9.010226	2193.597173
9.014097	2193.273384
9.017968	2192.844293
9.021839	2192.355517
9.026	2191.858512
9.029871	2191.406662
9.033742	2191.051095
9.037613	2190.836525
9.041484	2190.797454
9.045355	2190.95516
9.049226	2191.315756
9.053097	2191.869466
9.056968	2192.591072
9.060839	2193.441472
9.064	2194.370287
9.067871	2195.319407
9.071742	2196.227281
9.075613	2197.033622
9.079484	2197.684082
9.083355	2198.134463
9.087226	2198.354079
9.091097	2198.328046
9.094968	2198.058375
9.098839	2197.563832
9.103	2196.878559
9.106871	2196.049502
9.110742	2195.132827
9.114613	2194.189605
9.118484	2193.281098
9.122355	2192.464005
9.126226	2191.78604
9.130097	2191.282284
9.133968	2190.972708
9.137839	2190.861168
9.142	2190.935912
9.145871	2191.171456
9.149742	2191.531582
9.153613	2191.973145
