time,thrust_filtered
1.821,3108.58792232496
1.821,3109.57117686756
1.821,3110.3094636203
1.821,3110.86258031167
1.821,3111.30683846178
1.821,3111.72496878878
1.821,3112.19558092718
1.821,3112.78336509489
1.821,3113.53110511811
1.859,3114.45434346566
1.859,3115.53926681771
1.859,3116.74407960608
1.859,3118.00376594917
1.859,3119.23772544231
1.859,3120.35940036704
1.859,3121.28676948802
1.859,3121.95248309432
1.859,3122.31245476238
1.859,3122.35191027731
1.898,3122.08819454406
1.898,3121.57000278745
1.898,3120.87310369845
1.898,3120.09302285021
1.898,3119.33548482446
1.898,3118.70563264594
1.898,3118.29716753805
1.898,3118.18257804247
1.898,3118.40551835068
1.898,3118.97615358867
1.937,3119.86998332623
1.937,3121.03033655682
1.937,3122.37438005271
1.937,3123.80207596547
1.937,3125.20712629946
1.937,3126.48865686598
1.937,3127.56228883832
1.937,3128.36933102384
1.937,3128.88306900675
1.937,3129.11147413338
1.976,3129.09604934371
1.976,3128.90693761018
1.976,3128.63482577011
1.976,3128.38053802418
1.976,3128.24346446027
1.976,3128.31007470154
1.976,3128.64372215261
1.976,3129.27676869335
1.976,3130.20580762356
1.976,3131.39049607545
2.014,3132.75622912276
2.014,3134.20054563011
2.014,3135.60273954584
2.014,3136.83574211556
2.014,3137.77905002393
2.014,3138.33135003207
2.014,3138.42152297714
2.014,3138.01687686591
2.014,3137.12773438376
2.014,3135.80785374624
2.053,3134.15056201379
2.053,3132.28089596512
2.053,3130.34445513122
2.053,3128.49405395957
2.053,3126.87556090355
2.053,3125.61443829551
2.053,3124.80438602242
2.053,3124.4991868013
2.053,3124.70846725376
2.053,3125.39770999272
2.092,3126.49248231038
2.092,3127.88646368072
2.092,3129.45246671185
2.092,3131.05531343053
2.092,3132.56523009303
2.092,3133.87040131776
2.092,3134.8874559541
2.092,3135.56888932703
2.092,3135.90672337508
2.092,3135.93206116104
2.131,3135.71059677722
2.131,3135.33455884662
2.131,3134.91194847139
2.131,3134.55424011986
2.131,3134.36389976146
2.131,3134.42309360829
2.131,3134.78480193379
2.131,3135.46724780454
2.131,3136.45216127351
2.131,3137.68698960926
2.169,3139.09077075916
2.169,3140.56301958777
2.169,3141.99465702943
2.169,3143.27980198342
2.169,3144.32719043406
2.169,3145.07006118353
2.169,3145.47350247302
2.169,3145.53848053641
2.169,3145.30208271803
2.169,3144.83388865261
2.208,3144.22879596605
2.208,3143.59703528667
2.208,3143.05246071662
2.208,3142.70041738104
2.208,3142.62651002939
2.208,3142.88744640825
2.208,3143.50488103161
2.208,3144.46288786501
2.208,3145.70933831896
2.208,3147.16105164336
2.247,3148.71217287657
2.247,3150.24489649007
2.247,3151.64143078594
2.247,3152.79598699686
2.247,3153.62556993825
2.247,3154.07844973171
2.247,3154.13942297684
2.247,3153.83132176617
2.247,3153.21264181756
2.247,3152.37155982374
2.285,3151.41695990895
2.285,3150.46738223799
2.285,3149.63901395154
2.285,3149.03393194325
2.285,3148.72978846486
2.285,3148.77202091167
2.285,3149.1694386652
2.285,3149.89367788414
2.285,3150.8825870658
2.285,3152.04718903004
2.324,3153.28147190307
2.324,3154.47392214222
2.324,3155.51952139183
2.324,3156.33093139612
2.324,3156.84772134943
2.324,3157.04268644191
2.324,3156.92458189488
2.324,3156.53696843168
2.324,3155.95328158484
2.324,3155.26864493274
2.363,3154.58932639666
2.363,3154.02103413483
2.363,3153.65737807988
2.363,3153.56976674861
2.363,3153.79982118457
2.363,3154.355098513
2.363,3155.20853683272
2.363,3156.30162396402
2.363,3157.55092057284
2.363,3158.85722521779
2.402,3160.11635538429
2.402,3161.23032934896
2.402,3162.11774275853
2.402,3162.72227916556
2.402,3163.01848916928
2.402,3163.01423461354
2.402,3162.74955565057
2.402,3162.29211935839
2.402,3161.7297672719
2.402,3161.16098372943
2.44,3160.68434676327
2.44,3160.38812499546
2.44,3160.34111154894
2.44,3160.58560674884
2.44,3161.13323729066
2.44,3161.96401866777
2.44,3163.02872781905
2.44,3164.25430753726
2.44,3165.55171938073
2.44,3166.82541387692
2.479,3167.98342839529
2.479,3168.94708507423
2.479,3169.65930759833
2.479,3170.090662716
2.479,3170.24241553427
2.479,3170.14623234494
2.479,3169.86059015227
2.479,3169.46431334006
2.479,3169.04792749572
2.479,3168.70374722321
2.518,3168.51577248182
2.518,3168.55048529248
2.518,3168.84952987807
2.518,3169.42508520798
2.518,3170.25848017282
2.518,3171.30221980548
2.518,3172.48516465917
2.518,3173.72025386892
2.518,3174.91390513315
2.518,3175.97604789898
2.557,3176.82969650271
2.557,3177.41906754171
2.557,3177.71542230762
2.557,3177.72002960045
2.557,3177.46393082263
2.557,3177.00453960016
2.557,3176.4194422584
2.557,3175.79804996569
2.557,3175.23200717464
2.557,3174.80543731743
2.595,3174.58611957961
2.595,3174.61854586899
2.595,3174.91957499239
2.595,3175.47710905039
2.595,3176.25188334035
2.595,3177.18214992841
2.595,3178.19077706111
2.595,3179.194035651
2.595,3180.11109988893
2.595,3180.87315997436
2.634,3181.43110445447
2.634,3181.76091852113
2.634,3181.86619398942
2.634,3181.77746707831
2.634,3181.54847301888
2.634,3181.24974015828
2.634,3180.96020831604
2.634,3180.75779344393
2.634,3180.71000185064
2.634,3180.86570516655
2.673,3181.24900437404
2.673,3181.85585065969
2.673,3182.65381603331
2.673,3183.5850816015
2.673,3184.57234693481
2.673,3185.52705014939
2.673,3186.35906228991
2.673,3186.98684910728
2.673,3187.34699889435
2.673,3187.40206917174
2.712,3187.14590083937
2.712,3186.60579876607
2.712,3185.84125657919
2.712,3184.93925716726
2.712,3184.00658467573
2.712,3183.15992327395
2.712,3182.51472784572
2.712,3182.17396008867
2.712,3182.21781040505
2.712,3182.69544836876
2.75,3183.61966150571
2.75,3184.96498111521
2.75,3186.66955546031
2.75,3188.64061473659
2.75,3190.76295040283
2.75,3192.90950999362
2.75,3194.95303078115
2.75,3196.77757989787
2.75,3198.28891101162
2.75,3199.42267687396
2.789,3200.14973577186
2.789,3200.47804493735
2.789,3200.45094582243
2.789,3200.14200152247
2.789,3199.64690204241
2.789,3199.07326357853
2.789,3198.52938245531
2.789,3198.11312729291
2.789,3197.90213304636
2.789,3197.94630234139
2.828,3198.26335723425
2.828,3198.83785060045
2.828,3199.62367103121
