time,thrust
2.456613,2316.049026
2.460484,2292.121123
2.464355,2266.630918
2.468226,2285.186691
2.472097,2314.623767
2.475968,2278.060397
2.479839,2290.175097
2.484,2311.99252
2.487871,2349.844105
2.491742,2372.840108
2.495613,2376.786979
2.499484,2350.310055
2.503355,2376.841796
2.507226,2388.682408
2.511097,2379.692314
2.514968,2363.137385
2.518839,2388.901679
2.523,2313.006647
2.526871,2302.426841
2.530742,2345.705373
2.534613,2317.11797
2.538484,2264.821935
2.542355,2286.420088
2.546226,2260.162435
2.550097,2310.512444
2.553968,2314.048182
2.557839,2284.03552
2.561,2336.797505
2.564871,2341.977773
2.568742,2320.324803
2.572613,2379.801949
2.576484,2406.087011
2.580355,2384.982217
2.584226,2366.536079
2.588097,2357.107444
2.591968,2348.775161
2.595839,2335.75597
2.6,2338.058311
2.603871,2334.714435
2.607742,2318.488411
2.611613,2270.742241
2.615484,2272.496406
2.619355,2315.089717
2.623226,2325.888794
2.627097,2259.203127
2.630968,2287.817938
2.634839,2350.858232
2.639,2357.025217
2.642871,2353.571705
2.646742,2346.500229
2.650613,2387.531238
2.654484,2358.614929
2.658355,2353.297617
2.662226,2384.516267
2.666097,2374.703908
2.669968,2343.540076
2.673839,2346.034279
2.678,2308.895323
2.681871,2291.901853
2.685742,2282.17172
2.689613,2302.125344
2.693484,2309.4435
2.697355,2302.043117
2.701226,2281.815406
2.705097,2293.464156
2.708968,2357.710438
2.712839,2350.584144
2.716,2340.333244
2.719871,2358.751973
2.723742,2384.379223
2.727613,2352.091629
2.731484,2370.482949
2.735355,2400.440793
2.739226,2370.70222
2.743097,2307.744153
2.746968,2300.1245
2.750839,2311.362117
2.755,2299.740776
2.758871,2329.588985
2.762742,2290.257323
2.766613,2266.439056
2.770484,2298.425153
2.774355,2314.952673
2.778226,2291.764809
2.782097,2299.110373
2.785968,2347.87067
2.789839,2360.807635
2.794,2349.898923
2.797871,2357.408941
2.801742,2363.109976
2.805613,2376.732161
2.809484,2362.78107
2.813355,2374.649091
2.817226,2358.58752
2.821097,2324.3539
2.824968,2308.97755
2.828839,2305.24995
2.832,2305.332176
2.835871,2261.587694
2.839742,2284.638515
2.843613,2307.360429
2.847484,2300.371179
2.851355,2285.049647
2.855226,2315.117126
2.859097,2357.710438
2.862968,2320.516664
2.866839,2347.349902
2.871,2408.471579
2.874871,2403.236493
2.878742,2368.043564
2.882613,2331.397967
2.886484,2344.38975
2.890355,2374.621682
2.894226,2362.369938
2.898097,2302.837973
2.901968,2282.281356
2.905839,2260.957291
2.91,2272.578632
2.913871,2291.02477
2.917742,2326.738467
